Date,Ambulance Trust,Count of Handovers Over 15 Minutes,Handover Compliance,% of Handovers Over 15 Minutes,Count of Handovers Over 30 Minutes,% of Handovers Over 30 Minutes,Count of Handovers Over 60 Minutes,% of Handovers Over 60 Minutes,Count of Handovers Over 90 Minutes,% of Handovers Over 90 Minutes,Hours lost for Handovers over 15 minutes,Hours lost for Handovers over 30 minutes,Hours lost for Handovers over 60 minutes,Longest Handover (mm.m),Mean Handover Time (mm.m),90th Centile Handover Time (mm.m),Total Handover Time (hh.h),Average Time Lost for Handovers over 15 minutes per Handover (hh.h)
30-Sep-22,EEAST,606,72.75%,80.48%,384,51.00%,237,31.47%,174,23.11%,736.63,616.87,466.32,583.17,72.93,173.67,915.23,0.98
29-Sep-22,EEAST,657,72.15%,85.10%,416,53.89%,256,33.16%,194,25.13%,761.52,631.96,471.68,616.55,73.67,173.12,947.87,0.99
28-Sep-22,EEAST,681,72.93%,84.81%,424,52.80%,263,32.75%,200,24.91%,781.47,646.74,487.11,586.1,72.76,180.07,973.76,0.97
27-Sep-22,EEAST,666,72.14%,83.77%,423,53.21%,262,32.96%,191,24.03%,743.44,610.1,447.84,714.5,70.48,173.84,933.84,0.94
26-Sep-22,EEAST,633,71.89%,83.62%,410,54.16%,248,32.76%,188,24.83%,769.5,644.85,487.55,647.35,75.39,188.76,951.22,1.02
25-Sep-22,EEAST,665,77.19%,78.61%,320,37.83%,185,21.87%,131,15.48%,566.53,451.69,337.57,538.58,54.43,124.62,767.49,0.67
24-Sep-22,EEAST,728,81.28%,79.48%,389,42.47%,210,22.93%,141,15.39%,552.22,418.09,278.01,555.58,50.45,109.65,770.26,0.6
23-Sep-22,EEAST,673,75.34%,81.58%,384,46.55%,226,27.39%,159,19.27%,647.79,521.88,377.47,615.42,61.49,154.05,845.51,0.79
22-Sep-22,EEAST,647,76.19%,82.53%,400,51.02%,242,30.87%,166,21.17%,703.43,577.99,429.14,716.88,68.11,165.28,889.96,0.9
21-Sep-22,EEAST,671,74.08%,81.23%,413,50.00%,257,31.11%,190,23.00%,738.21,606.12,446.4,667.8,67.94,155.56,935.31,0.89
20-Sep-22,EEAST,755,77.05%,78.08%,397,41.05%,233,24.10%,170,17.58%,675.81,542.08,391.61,511.93,56.07,136.43,903.6,0.7
19-Sep-22,EEAST,780,87.60%,74.57%,282,26.96%,139,13.29%,92,8.80%,408.1,290.07,196.22,475.22,37.57,74.47,655.03,0.39
18-Sep-22,EEAST,728,85.29%,76.55%,267,28.08%,107,11.25%,68,7.15%,341.5,227.03,147.13,523.8,35.65,72.82,565.13,0.36
17-Sep-22,EEAST,797,83.14%,77.68%,382,37.23%,191,18.62%,133,12.96%,513.6,374.87,243.89,405.13,44.21,94.7,756.05,0.5
16-Sep-22,EEAST,758,83.91%,78.14%,371,38.25%,156,16.08%,88,9.07%,398.2,264.78,146.71,381.73,38.81,82.44,627.38,0.41
15-Sep-22,EEAST,703,79.44%,77.42%,373,41.08%,183,20.15%,132,14.54%,502.61,376.27,244.2,508.63,47.32,106.56,716.05,0.55
14-Sep-22,EEAST,746,81.05%,77.87%,419,43.74%,237,24.74%,158,16.49%,612.63,471.65,316.21,419.53,52.54,118.07,838.96,0.64
13-Sep-22,EEAST,699,78.77%,80.53%,439,50.58%,242,27.88%,175,20.16%,684.44,544.69,383.38,592.02,61.52,139.35,890.04,0.79
12-Sep-22,EEAST,714,76.87%,78.12%,426,46.61%,261,28.56%,188,20.57%,700.48,564.39,401.56,567.77,60.16,142.41,916.43,0.77
11-Sep-22,EEAST,738,83.99%,78.59%,366,38.98%,171,18.21%,114,12.14%,484.25,353.55,234.67,346.75,45.25,99.25,708.1,0.52
10-Sep-22,EEAST,743,83.17%,78.71%,393,41.63%,224,23.73%,156,16.53%,576.59,443.45,298.72,425.2,51,110.07,802.34,0.61
09-Sep-22,EEAST,766,83.16%,79.13%,387,39.98%,191,19.73%,126,13.02%,540.89,405.85,270.12,387.98,47.73,106.92,769.98,0.56
08-Sep-22,EEAST,775,83.92%,77.35%,365,36.43%,166,16.57%,124,12.38%,519.16,386.01,266.55,509.62,45.27,102.49,756.01,0.52
07-Sep-22,EEAST,763,81.41%,80.66%,425,44.93%,242,25.58%,171,18.08%,647.9,504.51,349.22,553.4,55.44,118.48,874.18,0.68
06-Sep-22,EEAST,678,75.88%,82.58%,408,49.70%,231,28.14%,164,19.98%,636.89,504.71,357.69,413.4,60.97,130.98,834.33,0.78
05-Sep-22,EEAST,691,77.51%,79.24%,378,43.35%,220,25.23%,150,17.20%,654.98,528.33,387.98,537.6,59.22,138.49,860.62,0.75
04-Sep-22,EEAST,707,86.42%,73.11%,337,34.85%,167,17.27%,104,10.75%,417.35,296.82,186.45,421.22,39.89,89.13,642.82,0.43
03-Sep-22,EEAST,733,85.13%,78.06%,353,37.59%,157,16.72%,88,9.37%,401.36,274.86,155.66,437.88,39.87,81.97,623.98,0.43
02-Sep-22,EEAST,727,80.36%,77.92%,355,38.05%,196,21.01%,132,14.15%,563.74,437.05,308.8,597.53,50.42,126.42,783.98,0.6
01-Sep-22,EEAST,745,84.16%,75.79%,373,37.95%,188,19.13%,127,12.92%,507.55,373.41,244.38,556.15,45.06,104.01,738.19,0.52
31-Aug-22,EEAST,733,79.36%,80.46%,386,42.37%,200,21.95%,139,15.26%,552.99,416,283.21,480.63,50.64,116.29,768.95,0.61
30-Aug-22,EEAST,743,82.07%,76.21%,381,39.08%,183,18.77%,125,12.82%,539.17,406.9,279.59,602.25,47.28,102.98,768.38,0.55
29-Aug-22,EEAST,740,81.95%,75.13%,358,36.35%,180,18.27%,116,11.78%,513.28,382.85,255.62,557.87,45.45,98.3,746.18,0.52
28-Aug-22,EEAST,754,85.18%,75.86%,298,29.98%,127,12.78%,82,8.25%,412.35,291.88,195.27,522.22,39.02,82.46,646.36,0.41
27-Aug-22,EEAST,760,89.63%,76.46%,319,32.09%,129,12.98%,77,7.75%,364.05,237.95,139.87,437.77,36.15,71.47,598.81,0.37
26-Aug-22,EEAST,777,83.63%,78.80%,327,33.16%,132,13.39%,77,7.81%,395.23,266.99,167.95,395.22,38.34,80.79,630.11,0.4
25-Aug-22,EEAST,729,84.21%,76.82%,319,33.61%,134,14.12%,73,7.69%,388.35,266.74,165.69,467.82,38.68,81.27,611.76,0.41
24-Aug-22,EEAST,765,81.44%,78.54%,363,37.27%,184,18.89%,105,10.78%,426.5,292.45,165.49,446.75,40.5,84.71,657.39,0.44
23-Aug-22,EEAST,720,83.02%,82.29%,431,49.26%,227,25.94%,142,16.23%,574.95,436.33,281.38,625.05,53.83,122.41,785.06,0.66
22-Aug-22,EEAST,755,79.55%,79.22%,400,41.97%,201,21.09%,146,15.32%,609.92,475.02,335,680.17,52.65,122.85,836.19,0.64
21-Aug-22,EEAST,721,82.53%,76.30%,323,34.18%,163,17.25%,121,12.80%,471.4,347.69,241.91,453.78,44.1,92.67,694.6,0.5
20-Aug-22,EEAST,726,85.71%,79.61%,338,37.06%,141,15.46%,90,9.87%,414.65,288.71,182.5,399.8,41.57,82.52,631.93,0.45
19-Aug-22,EEAST,698,80.27%,77.30%,322,35.66%,149,16.50%,99,10.96%,459.34,341.83,236.52,513.03,44.75,103.18,673.51,0.51
18-Aug-22,EEAST,755,81.54%,81.01%,374,40.13%,184,19.74%,120,12.88%,512.24,377.03,250.18,519.73,47.35,109.37,735.57,0.55
17-Aug-22,EEAST,688,75.59%,86.11%,384,48.06%,229,28.66%,173,21.65%,655.59,527.83,384.87,406.5,63.79,148.41,849.47,0.82
16-Aug-22,EEAST,593,69.45%,85.82%,357,51.66%,219,31.69%,169,24.46%,655.31,540.51,405.3,595.38,71.38,179.41,822.1,0.95
15-Aug-22,EEAST,673,70.31%,83.09%,414,51.11%,272,33.58%,191,23.58%,722.93,590.61,424.24,600.98,67.88,170.48,916.34,0.89
14-Aug-22,EEAST,721,81.27%,78.37%,341,37.07%,177,19.24%,128,13.91%,505.27,383.73,262.71,600.15,47.13,106.79,722.61,0.55
13-Aug-22,EEAST,704,81.04%,78.05%,384,42.57%,173,19.18%,111,12.31%,478.35,348.46,224.45,698.28,46.02,98.95,691.83,0.53
12-Aug-22,EEAST,755,80.38%,80.49%,359,38.27%,179,19.08%,128,13.65%,540.81,411.1,287.2,495.68,48.9,103.59,764.52,0.58
11-Aug-22,EEAST,748,81.30%,77.84%,361,37.57%,176,18.31%,112,11.65%,465.12,335.54,215.26,696.35,43.26,92.96,692.93,0.48
10-Aug-22,EEAST,812,84.08%,80.48%,403,39.94%,205,20.32%,141,13.97%,557.46,413,276.86,469.33,47.5,104.72,798.8,0.55
09-Aug-22,EEAST,686,80.82%,76.05%,358,39.69%,184,20.40%,126,13.97%,518.45,394.41,266.57,421.6,48.59,108.13,730.44,0.57
08-Aug-22,EEAST,731,81.71%,79.46%,355,38.59%,183,19.89%,123,13.37%,498.09,368.77,243.98,592.72,46.7,99.44,716.06,0.54
07-Aug-22,EEAST,804,87.46%,80.08%,374,37.25%,161,16.04%,95,9.46%,390.17,250.88,133.48,398.6,37.58,75.2,628.88,0.39
06-Aug-22,EEAST,808,85.08%,83.82%,404,41.91%,217,22.51%,140,14.52%,523.33,380.33,239.04,331.5,47.01,107.71,755.34,0.54
05-Aug-22,EEAST,809,82.98%,81.72%,427,43.13%,179,18.08%,119,12.02%,515.9,371.23,232.94,347.52,45.55,108.3,751.55,0.52
04-Aug-22,EEAST,718,79.93%,83.10%,414,47.92%,226,26.16%,155,17.94%,589.86,455.26,304.58,390.15,55.36,115.56,797.12,0.68
03-Aug-22,EEAST,704,74.87%,83.22%,403,47.64%,243,28.72%,159,18.79%,650.23,519.16,365.37,495.8,60.5,136.53,853.09,0.77
02-Aug-22,EEAST,625,73.82%,81.81%,362,47.38%,205,26.83%,157,20.55%,673.62,556.63,424.12,698.73,67.27,161.47,856.62,0.88
01-Aug-22,EEAST,696,74.93%,82.86%,417,49.64%,251,29.88%,183,21.79%,733.42,601.08,443.31,658.23,66.76,148.15,934.6,0.87
31-Jul-22,EEAST,733,79.06%,80.55%,392,43.08%,192,21.10%,125,13.74%,516.06,382.04,247.36,503.48,48.26,104.27,731.98,0.57
30-Jul-22,EEAST,771,82.05%,81.07%,359,37.75%,165,17.35%,104,10.94%,454.16,318.48,199.85,471.6,42.96,84.35,680.91,0.48
29-Jul-22,EEAST,749,81.95%,78.18%,388,40.50%,185,19.31%,117,12.21%,536.27,402.72,270.7,534.77,47.68,108.15,761.36,0.56
28-Jul-22,EEAST,733,77.97%,80.91%,379,41.83%,232,25.61%,160,17.66%,595.89,463.95,317.32,412.02,53.75,122.98,811.63,0.66
27-Jul-22,EEAST,732,77.70%,83.37%,407,46.36%,218,24.83%,147,16.74%,579.31,442.84,298.33,535.45,53.96,114.96,789.68,0.66
26-Jul-22,EEAST,672,76.78%,82.96%,386,47.65%,221,27.28%,141,17.41%,593.64,466.65,322.48,472.42,58.27,146.64,786.63,0.73
25-Jul-22,EEAST,653,69.18%,86.84%,416,55.32%,239,31.78%,188,25.00%,709.98,578.35,422.3,556.57,71.05,166.47,890.45,0.94
24-Jul-22,EEAST,658,76.24%,84.04%,370,47.25%,203,25.93%,150,19.16%,616.11,492.5,360.84,644.1,61.5,149.07,802.58,0.79
23-Jul-22,EEAST,684,77.51%,84.44%,397,49.01%,235,29.01%,177,21.85%,687.63,558.6,408.97,547.37,65.35,151.74,882.28,0.85
22-Jul-22,EEAST,687,74.42%,86.20%,410,51.44%,253,31.74%,199,24.97%,748.16,617.63,458.33,591.18,70.76,170.58,939.93,0.94
21-Jul-22,EEAST,615,71.98%,84.02%,416,56.83%,264,36.07%,202,27.60%,728.88,601.22,438.84,462.53,74.21,174.31,905.32,1
